worker_id,city,zone,primary_platform,secondary_platform,vehicle_type,avg_daily_hours,experience_weeks,avg_daily_income,avg_weekly_income,latitude,longitude,is_flood_zone,trust_score
GK-10054,Mumbai,Thane,Zepto,,Scooter,9.8,23,697.08,3902.08,19.118368,72.842516,False,0.717
GK-10055,Chennai,Anna Nagar,Swiggy,Zomato,Bicycle,10.9,98,560.11,3326.38,13.040528,80.156796,False,0.687
GK-10056,Mumbai,Andheri,Zepto,Zomato,Bike,10.0,10,760.75,3834.0,19.040734,72.829174,True,0.821
GK-10057,Mumbai,Powai,Zepto,,Bike,10.7,11,836.46,4989.43,19.235058,72.894812,False,0.694
GK-10058,Mumbai,Bandra,Swiggy,Zomato,Bicycle,9.7,12,803.03,4250.99,19.096526,72.944955,False,0.953
GK-10059,Mumbai,Borivali,Zomato,Swiggy,Bicycle,6.6,35,710.65,4281.32,19.025195,72.822369,False,0.547
GK-10060,Mumbai,Navi Mumbai,Swiggy,,Bike,6.6,57,832.75,4311.35,19.005818,72.925881,False,0.641
GK-10061,Mumbai,Navi Mumbai,Zepto,,Scooter,11.6,37,630.32,3911.28,19.157236,72.934071,False,0.868
GK-10062,Chennai,Guindy,Swiggy,Zepto,Scooter,8.3,20,782.76,4350.6,13.09205,80.298576,False,0.706
GK-10063,Mumbai,Kurla,Zomato,Zepto,Bike,12.2,5,593.48,3349.3,19.085201,72.940998,True,0.929
GK-10064,Delhi,Pitampura,Zepto,Swiggy,Bike,12.0,72,638.81,3500.73,28.725638,77.20105,False,0.913
GK-10065,Chennai,Sholinganallur,Zomato,Swiggy,Scooter,13.2,116,739.24,3797.42,12.966761,80.151626,False,0.953
GK-10066,Chennai,Mylapore,Zomato,Zepto,Bike,8.6,60,986.85,5929.76,12.984534,80.193982,False,0.664
GK-10067,Mumbai,Kurla,Zepto,,Bicycle,12.0,5,859.78,4936.54,19.197895,72.92265,True,0.546
GK-10068,Mumbai,Thane,Zomato,,Bike,6.5,116,386.5,2015.4,19.221926,72.865619,False,0.559
GK-10069,Chennai,Anna Nagar,Swiggy,Zomato,Bicycle,12.1,74,965.56,5843.04,13.035465,80.165168,False,0.542
GK-10070,Chennai,Anna Nagar,Zomato,,Bike,6.6,95,783.87,4359.42,12.874405,80.162726,False,0.993
GK-10071,Delhi,Saket,Zepto,,Scooter,9.0,68,830.88,5093.35,28.7032,77.28945,False,0.993
GK-10072,Delhi,Lajpat Nagar,Swiggy,Zomato,Bicycle,9.0,58,394.44,1978.92,28.726589,77.122239,False,0.746
GK-10073,Delhi,Connaught Place,Swiggy,Zepto,Bike,9.7,85,935.5,5588.5,28.514076,77.123764,False,0.559
GK-10074,Delhi,Rohini,Zepto,Zomato,Bicycle,12.0,94,773.9,4129.06,28.593718,77.157142,True,0.934
GK-10075,Delhi,Janakpuri,Swiggy,Zomato,Bike,13.7,117,713.33,4520.17,28.503039,77.293976,False,0.522
GK-10076,Mumbai,Dadar,Zepto,Swiggy,Scooter,10.2,78,771.04,4380.9,19.130774,72.901822,True,0.848
GK-10077,Mumbai,Dadar,Zomato,Swiggy,Bike,11.0,43,708.15,3839.2,19.146079,72.937151,True,0.523
GK-10078,Delhi,Connaught Place,Zomato,Swiggy,Bicycle,13.6,35,683.36,3892.11,28.655033,77.155476,False,0.594
GK-10079,Mumbai,Bandra,Zomato,,Scooter,8.8,83,846.45,5484.42,19.145914,72.830106,False,0.987
GK-10080,Mumbai,Dadar,Swiggy,Zomato,Bike,11.6,116,413.09,2629.89,19.203449,72.909015,True,0.581
GK-10081,Delhi,Connaught Place,Swiggy,,Scooter,12.6,104,754.37,4245.11,28.73745,77.245144,False,0.807
GK-10082,Delhi,Saket,Zomato,Swiggy,Bicycle,13.5,17,688.96,4058.8,28.702638,77.297455,False,0.575
GK-10083,Delhi,Connaught Place,Zomato,Swiggy,Bike,9.0,108,657.67,3750.72,28.742479,77.268424,False,0.919
GK-10084,Delhi,Karol Bagh,Zomato,Swiggy,Bike,9.3,7,683.71,4440.67,28.716181,77.26258,False,1.0
GK-10085,Mumbai,Borivali,Zomato,Zepto,Scooter,10.4,114,691.68,3715.03,19.192247,72.94282,False,0.925
GK-10086,Chennai,Anna Nagar,Zomato,,Bicycle,9.6,55,494.71,2557.82,13.05151,80.242719,False,0.679
GK-10087,Mumbai,Thane,Zomato,Swiggy,Bike,11.4,116,780.32,4899.06,19.130077,72.920401,False,0.76
GK-10088,Delhi,Rohini,Zepto,Zomato,Bike,10.4,17,853.99,5237.27,28.600871,77.126803,True,0.514
GK-10089,Mumbai,Malad,Zomato,,Scooter,11.0,59,724.91,3640.37,19.17602,72.847685,True,0.568
GK-10090,Mumbai,Thane,Swiggy,Zepto,Bicycle,8.8,28,440.37,2541.37,19.109369,72.937541,False,0.674
GK-10091,Delhi,Connaught Place,Zepto,Zomato,Bike,12.3,70,916.65,5888.82,28.599136,77.224417,False,0.931
GK-10092,Mumbai,Borivali,Zomato,Zepto,Bike,7.2,89,697.79,4004.57,19.064561,72.879688,False,0.99
GK-10093,Delhi,Pitampura,Zomato,,Bike,8.6,96,819.46,4255.72,28.65835,77.148029,False,0.538
GK-10094,Delhi,Janakpuri,Zomato,,Scooter,7.0,45,534.81,3209.57,28.586417,77.279358,False,0.737
GK-10095,Delhi,Lajpat Nagar,Zepto,Swiggy,Bike,7.4,57,773.15,4188.84,28.548072,77.108174,False,0.584
GK-10096,Mumbai,Malad,Zepto,,Bike,7.4,82,484.89,2453.04,19.091067,72.885444,True,0.845
GK-10097,Mumbai,Kurla,Zomato,,Bike,12.4,42,671.27,4283.58,19.156975,72.830629,True,0.937
GK-10098,Delhi,Saket,Zomato,,Bicycle,6.5,87,827.7,4598.46,28.687065,77.136904,False,0.605
GK-10099,Delhi,Nehru Place,Zomato,Zepto,Bicycle,9.9,31,606.95,3715.27,28.654564,77.173783,False,0.731
GK-10100,Mumbai,Powai,Zepto,Swiggy,Bicycle,6.3,14,827.71,4271.61,19.223802,72.886518,False,0.766
GK-10101,Delhi,Janakpuri,Zepto,,Bicycle,9.6,46,551.81,3071.33,28.633154,77.148494,False,0.635
GK-10102,Chennai,Mylapore,Zepto,Zomato,Bike,6.2,107,540.81,3185.58,12.948249,80.167964,False,0.945
GK-10103,Chennai,T. Nagar,Swiggy,Zomato,Bike,11.4,64,601.84,3494.08,13.086751,80.224766,False,0.543
GK-10104,Mumbai,Bandra,Zomato,Zepto,Bicycle,10.7,77,633.92,3783.79,19.031895,72.856891,False,0.682
GK-10105,Chennai,Porur,Zomato,Zepto,Bike,10.6,22,937.31,5020.08,12.956829,80.297977,True,0.803
GK-10106,Mumbai,Andheri,Swiggy,Zepto,Bike,6.8,26,631.28,3320.57,19.04017,72.844254,True,0.643
GK-10107,Mumbai,Thane,Zomato,Swiggy,Bicycle,13.2,35,606.1,3923.63,19.020058,72.888186,False,0.705
GK-10108,Chennai,Tambaram,Swiggy,Zepto,Bicycle,6.9,71,758.54,3987.14,13.109652,80.272561,True,0.629
GK-10109,Mumbai,Navi Mumbai,Zomato,Zepto,Bicycle,11.3,108,687.26,3724.93,19.232344,72.892379,False,0.786
GK-10110,Mumbai,Thane,Zomato,,Scooter,12.2,118,615.32,3182.59,19.106359,72.885989,False,0.621
GK-10111,Chennai,Tambaram,Zomato,Zepto,Bike,10.9,111,549.69,3145.17,12.936589,80.237186,True,0.577
GK-10112,Mumbai,Kurla,Zepto,Zomato,Bicycle,10.3,34,677.72,3716.3,19.033604,72.828239,True,0.995
GK-10113,Delhi,Nehru Place,Swiggy,,Scooter,12.5,34,638.88,3765.21,28.56366,77.236301,False,0.88
GK-10114,Delhi,Karol Bagh,Zomato,,Bike,9.8,21,434.46,2253.3,28.732382,77.266124,False,0.983
GK-10115,Chennai,Mylapore,Zomato,,Bike,11.8,94,545.11,3331.54,13.131502,80.177185,False,0.533
GK-10116,Chennai,Velachery,Zomato,Zepto,Scooter,10.6,73,682.02,3578.15,13.08858,80.180244,True,0.582
GK-10117,Delhi,Chandni Chowk,Swiggy,Zomato,Scooter,12.5,53,717.06,4528.81,28.666299,77.204613,True,0.679
GK-10118,Mumbai,Andheri,Zepto,Zomato,Scooter,9.1,4,662.48,4055.31,19.094236,72.880148,True,0.651
GK-10119,Delhi,Lajpat Nagar,Zomato,Zepto,Bicycle,10.0,99,895.16,5205.65,28.558053,77.279915,False,0.692
GK-10120,Mumbai,Thane,Zepto,Swiggy,Scooter,13.3,32,567.28,2954.91,19.234958,72.901602,False,0.667
GK-10121,Delhi,Chandni Chowk,Zomato,Swiggy,Scooter,12.4,47,743.04,4594.14,28.655018,77.206692,True,0.947
GK-10122,Mumbai,Malad,Zepto,Swiggy,Scooter,7.2,20,536.29,3294.8,19.185987,72.824359,True,0.785
GK-10123,Mumbai,Thane,Swiggy,Zepto,Bicycle,13.0,76,577.45,3620.43,19.08552,72.926763,False,0.555
GK-10124,Mumbai,Andheri,Swiggy,,Scooter,7.0,21,893.05,5429.79,19.037479,72.849803,True,0.861
GK-10125,Delhi,Rohini,Swiggy,Zepto,Scooter,11.1,45,633.3,3494.89,28.673487,77.208545,True,0.626
GK-10126,Chennai,Tambaram,Zomato,Zepto,Scooter,7.5,39,725.59,3794.86,12.970255,80.219301,True,0.974
GK-10127,Delhi,Lajpat Nagar,Swiggy,Zepto,Bike,10.7,99,825.33,5206.34,28.626472,77.222291,False,0.509
GK-10128,Mumbai,Andheri,Zomato,Swiggy,Bicycle,13.5,12,967.32,5672.78,19.230625,72.911941,True,0.576
GK-10129,Mumbai,Andheri,Swiggy,Zomato,Bike,10.9,111,788.54,5037.47,19.106033,72.915738,True,0.967
GK-10130,Chennai,Chromepet,Swiggy,Zomato,Bike,9.6,64,1080.8,6705.59,12.969701,80.158214,False,0.668
GK-10131,Mumbai,Bandra,Zepto,Swiggy,Scooter,6.0,93,778.59,4967.24,19.083375,72.871762,False,0.769
GK-10132,Delhi,Karol Bagh,Swiggy,,Bicycle,8.8,99,890.52,4640.75,28.613054,77.144921,False,0.726
GK-10133,Mumbai,Bandra,Swiggy,Zepto,Bike,7.4,78,577.23,3199.93,19.124592,72.87446,False,0.957
GK-10134,Chennai,Anna Nagar,Zepto,,Scooter,10.6,54,547.42,2807.18,13.138321,80.172299,False,0.707
GK-10135,Mumbai,Borivali,Swiggy,,Bicycle,14.0,110,777.5,4762.14,19.125549,72.8974,False,0.534
GK-10136,Mumbai,Borivali,Swiggy,,Scooter,7.7,112,682.77,3992.33,19.047672,72.824751,False,0.736
GK-10137,Mumbai,Navi Mumbai,Swiggy,,Bike,6.5,48,723.26,4094.48,19.193882,72.878928,False,0.762
GK-10138,Mumbai,Malad,Zepto,Zomato,Bike,9.2,68,523.37,2909.92,19.045482,72.932032,True,0.973
GK-10139,Mumbai,Goregaon,Swiggy,Zepto,Scooter,8.2,17,730.56,3823.92,19.161,72.873135,False,0.513
GK-10140,Delhi,Karol Bagh,Zepto,Zomato,Bicycle,11.7,23,686.62,3453.4,28.555493,77.146215,False,0.836
GK-10141,Delhi,Rohini,Zepto,,Bicycle,6.8,38,704.5,3774.2,28.699979,77.135709,True,0.826
GK-10142,Mumbai,Thane,Zomato,Zepto,Scooter,6.8,109,822.08,4934.23,19.213924,72.927929,False,0.699
GK-10143,Mumbai,Navi Mumbai,Zomato,Zepto,Bike,7.6,110,558.94,2866.39,19.073287,72.936524,False,0.507
GK-10144,Chennai,Anna Nagar,Zomato,Swiggy,Scooter,7.7,76,449.53,2422.58,13.117802,80.272617,False,0.671
GK-10145,Mumbai,Malad,Zomato,Swiggy,Scooter,9.0,112,964.7,5415.94,19.147574,72.854848,True,0.812
GK-10146,Delhi,Rohini,Zomato,Swiggy,Scooter,10.4,106,436.98,2754.15,28.737113,77.252721,True,0.57
GK-10147,Delhi,Karol Bagh,Zomato,,Bicycle,9.9,116,618.26,3112.14,28.723638,77.259971,False,0.713
GK-10148,Delhi,Janakpuri,Swiggy,,Bike,8.1,14,1023.29,6627.44,28.564472,77.127871,False,0.917
GK-10149,Chennai,Porur,Zomato,,Bike,10.2,92,800.84,5102.51,12.901504,80.190846,True,0.509
GK-10150,Delhi,Nehru Place,Zomato,Swiggy,Bike,6.9,41,455.56,2418.86,28.638545,77.230284,False,0.915
GK-10151,Chennai,Porur,Zepto,Swiggy,Scooter,6.1,88,782.78,4615.36,12.891066,80.285003,True,0.937
GK-10152,Mumbai,Goregaon,Zomato,,Bicycle,10.8,48,549.44,3174.87,19.228603,72.87444,False,0.692
GK-10153,Delhi,Janakpuri,Zomato,Zepto,Bicycle,6.4,62,776.54,4585.26,28.541571,77.247607,False,0.541
GK-10154,Delhi,Lajpat Nagar,Zomato,Swiggy,Bike,8.0,96,471.4,2757.5,28.588918,77.243809,False,0.649
GK-10155,Chennai,Guindy,Swiggy,,Bicycle,9.8,101,580.23,3088.22,13.049101,80.290524,False,0.866
GK-10156,Mumbai,Dadar,Swiggy,Zomato,Bicycle,6.2,65,791.14,4352.35,19.012856,72.884528,True,0.798
GK-10157,Delhi,Pitampura,Zepto,,Scooter,12.2,16,472.12,2711.5,28.52665,77.115028,False,0.864
GK-10158,Chennai,Anna Nagar,Swiggy,Zepto,Bike,11.5,42,466.31,2521.91,13.095731,80.269912,False,0.847
GK-10159,Chennai,Sholinganallur,Swiggy,Zepto,Bike,10.7,10,639.94,3331.03,12.958292,80.163737,False,0.959
GK-10160,Mumbai,Kurla,Zepto,Swiggy,Bicycle,13.6,115,502.1,3117.96,19.135475,72.933483,True,0.866
GK-10161,Delhi,Dwarka,Swiggy,,Scooter,11.3,64,666.06,3819.28,28.673069,77.269839,True,0.625
GK-10162,Delhi,Nehru Place,Zomato,Swiggy,Bike,7.8,36,822.77,5254.7,28.508486,77.239484,False,0.649
GK-10163,Delhi,Dwarka,Swiggy,Zepto,Scooter,13.8,13,720.08,4512.61,28.736067,77.194843,True,0.931
GK-10164,Mumbai,Andheri,Swiggy,Zomato,Bicycle,8.6,42,489.23,2695.57,19.030142,72.830004,True,0.848
GK-10165,Chennai,Mylapore,Swiggy,,Scooter,11.8,81,775.16,4795.21,12.869607,80.197294,False,0.77
GK-10166,Mumbai,Navi Mumbai,Swiggy,,Scooter,8.6,61,830.16,5234.28,19.153966,72.850285,False,0.512
GK-10167,Delhi,Lajpat Nagar,Zepto,Zomato,Scooter,6.2,76,742.45,4601.83,28.718675,77.205787,False,0.97
GK-10168,Mumbai,Andheri,Zepto,,Bike,14.0,101,883.48,5575.21,19.100483,72.882384,True,0.814
GK-10169,Chennai,Mylapore,Zomato,,Bike,13.9,24,597.49,3648.5,13.080482,80.212665,False,0.711
GK-10170,Chennai,T. Nagar,Zepto,Swiggy,Bike,7.9,4,654.95,3316.1,12.936172,80.194446,False,0.617
GK-10171,Delhi,Nehru Place,Zepto,,Scooter,6.1,41,579.28,3486.96,28.746931,77.185555,False,0.692
GK-10172,Chennai,Mylapore,Zomato,,Scooter,7.7,93,675.14,3996.91,13.113735,80.29171,False,0.734
GK-10173,Delhi,Dwarka,Zepto,Swiggy,Scooter,7.3,104,576.16,3442.25,28.747792,77.146334,True,0.971
GK-10174,Mumbai,Navi Mumbai,Zepto,Swiggy,Scooter,10.9,18,464.51,2865.74,19.044132,72.848663,False,0.593
GK-10175,Mumbai,Borivali,Zepto,Swiggy,Scooter,8.8,109,711.09,4545.02,19.014461,72.945983,False,0.942
GK-10176,Chennai,Velachery,Swiggy,Zomato,Scooter,14.0,80,643.99,4008.03,13.077472,80.254403,True,0.577
GK-10177,Mumbai,Navi Mumbai,Zomato,Zepto,Bike,7.8,63,523.96,3075.71,19.055954,72.889807,False,0.796
GK-10178,Mumbai,Kurla,Zepto,Zomato,Scooter,6.7,68,645.62,4063.01,19.032379,72.935537,True,0.978
GK-10179,Mumbai,Powai,Zomato,Swiggy,Bicycle,12.5,9,787.57,4420.38,19.16381,72.891611,False,0.543
GK-10180,Delhi,Karol Bagh,Zepto,Zomato,Bike,9.0,15,832.62,5016.44,28.623969,77.116209,False,0.61
GK-10181,Chennai,Chromepet,Zepto,Swiggy,Bicycle,6.6,109,557.4,3282.31,13.105362,80.224272,False,0.74
GK-10182,Delhi,Pitampura,Swiggy,Zomato,Scooter,12.6,70,898.58,5567.73,28.641433,77.153406,False,0.939
GK-10183,Mumbai,Powai,Zomato,Swiggy,Bicycle,11.3,59,530.23,3316.86,19.212645,72.932748,False,0.854
GK-10184,Mumbai,Powai,Swiggy,Zepto,Scooter,11.6,56,851.28,5369.67,19.188179,72.840619,False,0.94
GK-10185,Delhi,Karol Bagh,Zepto,Swiggy,Bike,6.2,46,929.75,5685.67,28.706454,77.125774,False,0.668
GK-10186,Delhi,Nehru Place,Zomato,,Scooter,7.3,108,762.74,4519.53,28.626867,77.101277,False,0.644
GK-10187,Mumbai,Andheri,Zomato,Swiggy,Scooter,13.8,36,760.06,4415.93,19.157953,72.853774,True,0.817
GK-10188,Delhi,Dwarka,Zomato,,Bike,12.2,88,739.99,4402.15,28.635317,77.292598,True,0.671
GK-10189,Mumbai,Powai,Zomato,Swiggy,Bike,13.5,70,639.79,3264.05,19.025627,72.94184,False,0.844
GK-10190,Delhi,Pitampura,Zomato,,Scooter,8.4,101,645.56,3272.09,28.645543,77.169177,False,0.81
GK-10191,Chennai,Mylapore,Zomato,,Bike,13.0,40,726.2,3772.7,13.142047,80.295332,False,0.875
GK-10192,Delhi,Nehru Place,Swiggy,Zomato,Bicycle,12.1,81,680.34,3680.94,28.692602,77.236659,False,0.723
GK-10193,Chennai,T. Nagar,Zomato,,Bike,14.0,74,394.71,2444.13,12.977854,80.217708,False,0.582
GK-10194,Delhi,Dwarka,Swiggy,Zomato,Scooter,11.5,19,868.28,4904.48,28.568315,77.290173,True,0.576
GK-10195,Mumbai,Dadar,Zomato,,Scooter,13.5,69,896.58,4851.68,19.104932,72.903008,True,0.699
GK-10196,Mumbai,Kurla,Zomato,Zepto,Scooter,13.9,35,834.68,4989.3,19.057489,72.847704,True,0.516
GK-10197,Delhi,Janakpuri,Swiggy,Zepto,Bike,8.9,80,669.01,3531.23,28.71609,77.194642,False,0.984
GK-10198,Mumbai,Dadar,Swiggy,Zepto,Scooter,12.9,47,806.16,4189.51,19.211196,72.918933,True,0.813
GK-10199,Mumbai,Kurla,Swiggy,Zepto,Bicycle,6.3,42,808.38,4625.78,19.230212,72.900165,True,0.898
GK-10200,Mumbai,Navi Mumbai,Zepto,Zomato,Bike,6.9,61,756.25,3854.09,19.107576,72.846068,False,0.746
GK-10201,Mumbai,Powai,Zomato,Zepto,Bicycle,10.7,101,586.39,3332.35,19.067248,72.923683,False,0.655
GK-10202,Mumbai,Malad,Zomato,Zepto,Bike,6.1,93,674.04,4072.87,19.119985,72.898003,True,0.646
GK-10203,Chennai,Chromepet,Zomato,Swiggy,Scooter,12.9,9,596.78,3077.83,13.083955,80.155943,False,0.74
GK-10204,Delhi,Nehru Place,Zepto,Zomato,Scooter,7.9,88,1060.3,5820.72,28.675616,77.21193,False,0.505
GK-10205,Mumbai,Dadar,Zomato,Swiggy,Bike,10.1,68,696.61,3565.16,19.021967,72.865582,True,0.517
GK-10206,Mumbai,Goregaon,Swiggy,Zepto,Bike,9.2,71,729.31,3829.77,19.172366,72.924076,False,0.6
GK-10207,Delhi,Connaught Place,Zepto,Swiggy,Scooter,6.8,115,540.61,3462.24,28.659108,77.241295,False,0.516
GK-10208,Mumbai,Dadar,Swiggy,Zepto,Scooter,6.4,47,971.8,5353.82,19.217742,72.912831,True,0.901
GK-10209,Mumbai,Malad,Zepto,Swiggy,Scooter,12.5,113,753.69,4692.43,19.020029,72.936326,True,0.774
GK-10210,Mumbai,Thane,Zomato,Zepto,Bicycle,9.6,95,760.2,4082.77,19.182897,72.830612,False,0.53
GK-10211,Delhi,Janakpuri,Swiggy,,Bike,7.3,34,1027.38,5656.08,28.717946,77.143843,False,0.988
GK-10212,Mumbai,Kurla,Swiggy,,Bike,7.5,59,792.8,4235.68,19.124549,72.892197,True,0.86
GK-10213,Chennai,Velachery,Zomato,Swiggy,Bicycle,14.0,42,869.4,5234.09,13.142438,80.247549,True,0.6
GK-10214,Chennai,Adyar,Zomato,Swiggy,Scooter,6.6,49,863.66,4766.46,13.068151,80.261406,True,0.713
GK-10215,Delhi,Chandni Chowk,Swiggy,Zomato,Bicycle,9.0,56,683.39,4010.14,28.746912,77.108022,True,0.934
GK-10216,Mumbai,Dadar,Swiggy,Zomato,Bike,9.5,82,684.19,3705.05,19.218356,72.937091,True,0.711
GK-10217,Delhi,Pitampura,Zepto,Swiggy,Scooter,10.7,120,967.12,5751.79,28.728091,77.142132,False,0.811
GK-10218,Mumbai,Dadar,Swiggy,Zepto,Bicycle,11.9,36,760.24,4908.94,19.227258,72.843359,True,0.619
GK-10219,Delhi,Lajpat Nagar,Zepto,Swiggy,Scooter,7.4,119,597.16,3765.77,28.713596,77.198456,False,0.624
